Id,Manufacturer,Model,Prod_Year,Category,Leather_Interioe,Fuel_Type,Engine Volume,Kilometers_Driven,Gear_Box_Type,Drive_Wheel,Selling_Date,Wheel,Color,Airbags,Price
45624039,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000,Tiptronic,Rear,02-03-2023,Left wheel,Silver,6,423370
45766794,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000,Automatic,4x4,02-03-2023,Left wheel,Blue,6,156810
45709646,TOYOTA,RAV 4,2001,Jeep,No,Petrol,2,91000,Automatic,4x4,02-03-2023,Right-hand drive,Silver,4,108200
45816588,SUZUKI,Grand Vitara,2008,Jeep,No,Petrol,1.6,98000,Automatic,4x4,02-03-2023,Left wheel,Black,12,156810
45759758,MITSUBISHI,Pajero Mini,2006,Jeep,No,Petrol,0.7,314000,Manual,4x4,02-03-2023,Right-hand drive,Silver,2,43910
45816319,SUZUKI,Jimny,2000,Jeep,No,Petrol,1.3,125000,Manual,4x4,02-03-2023,Left wheel,Green,4,125440
45700038,MITSUBISHI,Pajero IO,1998,Jeep,No,Petrol,1.8,200000,Automatic,4x4,02-03-2023,Left wheel,Silver,2,72130
45816009,FIAT,500C Lounge,2013,Cabriolet,Yes,Petrol,1.4,70000,Automatic,Front,02-03-2023,Left wheel,Blue,6,131720
44765366,MERCEDES-BENZ,SLK 230,1998,Cabriolet,No,Petrol,2.3,130000,Automatic,Rear,02-03-2023,Left wheel,White,4,131720
45773920,KIA,Sportage,2020,Sedan,Yes,Petrol,2.4,2741,Automatic,4x4,02-03-2023,Left wheel,Silver,12,120740
45769279,HONDA,Step Wagon Pada,2004,Minivan,No,Petrol,2,330000,Automatic,Front,02-03-2023,Right-hand drive,White,2,94080
45793574,NISSAN,X-Terra,2005,Jeep,Yes,Petrol,4,118498,Automatic,4x4,02-03-2023,Left wheel,Black,6,166210
45487809,MERCEDES-BENZ,Vito,2015,Minivan,No,Diesel,2.2,330000,Manual,Rear,02-03-2023,Left wheel,Black,6,498640
45785315,MITSUBISHI,Pajero,1992,Jeep,No,Petrol,3,123000,Manual,4x4,02-03-2023,Left wheel,Silver,0,78400
45342076,MITSUBISHI,Delica,1996,Minivan,No,Petrol,2.4,111000,Automatic,Rear,02-03-2023,Left wheel,Green,2,37630
45789510,BMW,325 CI,2004,Cabriolet,Yes,Petrol,2.5,174000,Tiptronic,Rear,02-03-2023,Left wheel,Silver,6,119170
42806664,LAND ROVER,Defender 90 Cabrio,2011,Jeep,No,Diesel,2.4 Turbo,60000,Manual,4x4,02-03-2023,Left wheel,White,0,784030
45816087,HYUNDAI,Santa FE,2018,Sedan,Yes,Petrol,2.4,56150,Automatic,Front,02-03-2023,Left wheel,Blue,12,111330
45506843,OPEL,Corsa,2008,Sedan,No,Diesel,1.3 Turbo,170000,Manual,Front,02-03-2023,Left wheel,Black,6,103490
45808632,BMW,428,2016,Cabriolet,Yes,Petrol,2,52131,Automatic,Rear,02-03-2023,Left wheel,Black,12,200710
45776665,MITSUBISHI,Pajero,1997,Jeep,No,Diesel,2.8 Turbo,155000,Tiptronic,4x4,02-03-2023,Right-hand drive,Silver,2,185030
45756369,HYUNDAI,Santa FE,2019,Sedan,Yes,Petrol,2.4,46264,Automatic,Front,02-03-2023,Left wheel,Grey,12,87810
45776472,NISSAN,Micra,1997,Sedan,No,CNG,1,2888,Manual,Front,02-03-2023,Left wheel,Black,2,78400
45788165,MERCEDES-BENZ,C 63 AMG,2011,Sedan,Yes,Petrol,6.3 Turbo,73000,Tiptronic,Rear,02-03-2023,Left wheel,Red,10,1097640
45781926,VAZ,2107,1999,Sedan,No,Petrol,1.6,10000,Manual,4x4,02-03-2023,Left wheel,White,6,28000
45804181,SUZUKI,Samurai,1984,Jeep,Yes,CNG,1.6,100000,Manual,4x4,02-03-2023,Left wheel,Green,0,109760
45801749,MERCEDES-BENZ,Vito,1998,Minivan,Yes,Diesel,2.3 Turbo,222000,Manual,Front,02-03-2023,Left wheel,Green,4,89380
45785103,ISUZU,VehiCross,1999,Jeep,No,Petrol,3.2,170000,Automatic,4x4,02-03-2023,Right-hand drive,Blue,4,94080
45811161,MITSUBISHI,Pajero,1995,Jeep,No,Diesel,2.5 Turbo,205000,Manual,4x4,02-03-2023,Left wheel,Blue,0,94080
43652825,MERCEDES-BENZ,G 300,1988,Jeep,No,Diesel,2.9 Turbo,138000,Manual,4x4,02-03-2023,Left wheel,Black,2,156810
45760603,JEEP,Wrangler,2011,Jeep,No,Petrol,3.8,120000,Manual,4x4,02-03-2023,Left wheel,White,2,454730
45775358,TOYOTA,Vitz,2002,Sedan,No,Petrol,1,90000,Automatic,Front,02-03-2023,Right-hand drive,Pink,2,75270
45794072,MITSUBISHI,Pajero IO,2000,Jeep,No,Petrol,1.8,10000,Automatic,Front,02-03-2023,Left wheel,Red,12,56450
45813688,HYUNDAI,Veloster,2015,Sedan,Yes,Petrol,1.6 Turbo,59000,Tiptronic,Front,02-03-2023,Left wheel,Silver,8,250890
45774300,NISSAN,Micra,2004,Sedan,No,Petrol,1.2,248000,Manual,Front,02-03-2023,Left wheel,Blue,7,79970
45793808,MERCEDES-BENZ,CLK 320,2000,Sedan,Yes,CNG,3.2,,Automatic,Rear,02-03-2023,Left wheel,Beige,0,94080
44528130,MITSUBISHI,Pajero,2003,Jeep,No,Petrol,3.5,120000,Tiptronic,Rear,02-03-2023,Right-hand drive,White,2,141130
45784158,CHEVROLET,Camaro,2011,Jeep,Yes,Petrol,3.6,84800,Tiptronic,Rear,02-03-2023,Left wheel,Red,8,360650
45783372,TOYOTA,RAV 4,1997,Jeep,No,Petrol,2,80000,Automatic,Front,02-03-2023,Right-hand drive,White,8,53310
45744453,MERCEDES-BENZ,Smart,1999,Sedan,No,Petrol,0.6 Turbo,142000,Tiptronic,Rear,02-03-2023,Left wheel,Black,2,47040
45758603,VAZ,2121 (Niva),1991,Jeep,No,Petrol,1.6,10000,Manual,4x4,02-03-2023,Left wheel,Red,,94080
45760706,FIAT,500,2013,Sedan,Yes,Petrol,1.4,112000,Manual,Front,02-03-2023,Left wheel,White,5,119170
45806383,MERCEDES-BENZ,G 55 AMG,1996,Jeep,Yes,Petrol,5.5,180000,Automatic,4x4,02-03-2023,Left wheel,Black,8,407690
45816551,TOYOTA,RAV 4,2001,Jeep,No,Petrol,2,250000,Manual,Front,02-03-2023,Left wheel,Green,8,40770
45776750,UAZ,Patriot,1964,Jeep,No,Petrol,2.4,50000,Manual,4x4,02-03-2023,Left wheel,Green,,53310
45776706,MITSUBISHI,Pajero,1994,Jeep,Yes,Diesel,2.5 Turbo,211433,Manual,4x4,02-03-2023,Left wheel,White,2,94080
45801109,VAZ,2106,1974,Sedan,No,Petrol,0.6,5200,Manual,Rear,02-03-2023,Left wheel,White,10,24370
45816146,VAZ,2121 (Niva),2014,Jeep,No,Petrol,1.7,35000,Manual,4x4,02-03-2023,Left wheel,Green,2,185030
45769981,BMW,645,2005,Cabriolet,Yes,Petrol,4.4,222222,Tiptronic,Rear,02-03-2023,Left wheel,Golden,,241480
